year,CityName,AIRSNeedCategory,contact_count,population,contacts_per_10000
2024,Ottawa,Employment,506,1097760.0,4.609386386824078
2024,Ottawa,Food/Meals,2336,1097760.0,21.279696837195743
2024,Ottawa,Health,3635,1097760.0,33.11288441918087
2024,Ottawa,Housing,2047,1097760.0,18.64706311033377
2024,Ottawa,Income Support/Financial Assistance,2794,1097760.0,25.45182917941991
2024,Ottawa,Individual/Family Services,10192,1097760.0,92.84360880338143
2024,Ottawa,Information Services,2797,1097760.0,25.479157557207404
2024,Ottawa,Legal/Public Safety,1284,1097760.0,11.69654569304766
2024,Ottawa,Mental Health/Substance Use Disorders,1837,1097760.0,16.73407666520915
2024,Ottawa,Other Government/Economic Services,804,1097760.0,7.324005247048535
2024,Ottawa,Transportation,388,1097760.0,3.5344701938492933
2024,Ottawa,Unknown,384,1097760.0,3.4980323567993006
2024,Ottawa,Utility Assistance,515,1097760.0,4.691371520186562
2024,Ottawa,Volunteers/Donations,233,1097760.0,2.1225040081620756
2024,Petawawa,"Arts, Culture and Recreation",1,19488.0,0.513136288998358
2024,Petawawa,Community Services,1,19488.0,0.513136288998358
2024,Petawawa,Employment,2,19488.0,1.026272577996716
2024,Petawawa,Health,2,19488.0,1.026272577996716
2024,Petawawa,Housing,5,19488.0,2.5656814449917897
2024,Petawawa,Income Support/Financial Assistance,2,19488.0,1.026272577996716
2024,Petawawa,Individual/Family Services,1,19488.0,0.513136288998358
2024,Petawawa,Information Services,2,19488.0,1.026272577996716
2024,Petawawa,Legal/Public Safety,2,19488.0,1.026272577996716
2024,Petawawa,Mental Health/Substance Use Disorders,7,19488.0,3.5919540229885056
2024,Petawawa,Other Government/Economic Services,2,19488.0,1.026272577996716
2024,Petawawa,Transportation,1,19488.0,0.513136288998358
2024,Petawawa,Utility Assistance,3,19488.0,1.5394088669950738
2024,Petawawa,Volunteers/Donations,1,19488.0,0.513136288998358
2024,Saint-Gabriel-de-Valcartier,Unknown,2,,
2024,Shilo,Housing,3,,
2024,Shilo,Mental Health/Substance Use Disorders,1,,
2024,Trenton,"Arts, Culture and Recreation",1,16770.0,0.5963029218843172
2024,Trenton,Community Services,4,16770.0,2.385211687537269
2024,Trenton,Consumer Services,1,16770.0,0.5963029218843172
2024,Trenton,Disaster,2,16770.0,1.1926058437686344
2024,Trenton,Food/Meals,12,16770.0,7.155635062611807
2024,Trenton,Health,18,16770.0,10.73345259391771
2024,Trenton,Housing,14,16770.0,8.348240906380441
2024,Trenton,Income Support/Financial Assistance,7,16770.0,4.174120453190221
2024,Trenton,Individual/Family Services,7,16770.0,4.174120453190221
2024,Trenton,Information Services,6,16770.0,3.5778175313059033
2024,Trenton,Legal/Public Safety,5,16770.0,2.981514609421586
2024,Trenton,Mental Health/Substance Use Disorders,15,16770.0,8.94454382826476
